"age","sex","experience","experience_role","experience_years","hard_skills","soft_skills","certifications","degree","training","job_field","job_position"
29,"male",0.520168543,0.29970482,6,0.390451163,NA,"FALSE","information technology","FALSE","computer & it","application developer"
31,"female",0.434410214,0.243377492,5,0.704552889,0.678922176,"TRUE","financial management","FALSE","accounting & finance","financial manager"
NA,NA,0.431612372,0.234919116,2,0.271153748,0.161889374,"FALSE","civil engineering","FALSE","hr & admin","project coordinator"
50,"male",0.361311,0.26297,12,0.352241635,0.458012283,"TRUE","psychology","TRUE","education","sped teacher"
29,"female",0.285427,0.152683,6,0.307592601,0.489467561,"TRUE","mechanical engineering","TRUE","education","researcher"
35,"male",0.258032709,0.212866709,8,0.354141623,0.630728364,"FALSE","information technology","TRUE","computer & it","web developer"
NA,"female",0.325870275,0.289483607,17,0.243715718,0.343456864,"TRUE","accountancy","FALSE","accounting & finance","accountant"
32,"male",0.517446041,0.298276603,8,0.360535979,NA,"FALSE","computer science","FALSE","computer & it","application developer"
27,"female",0.277257711,0.423602581,1,0.43071717,0.525916219,"FALSE","computer science","TRUE","services","customer service representative"
NA,"male",0.626892686,0.292841375,3,0.285750866,0.615497708,"FALSE","computer engineering","FALSE","computer & it","software engineer"
29,"female",0.422575355,0.232703477,4,0.287374854,0.502439082,"FALSE",NA,"FALSE","hr & admin","offinance manager"
26,"male",0.170632839,0.289515376,5,0.05813052,0.185932636,"TRUE","nursing","TRUE","healthcare","medical assistant"
32,"female",0.391393,0.378847,3,0.465557754,0.308833718,"FALSE",NA,"FALSE","education","sped teacher"
44,"male",0.427238166,0.19313243,13,0.47328046,0.302549094,"FALSE","business administration","FALSE","hr & admin","offinance manager"
26,"male",0.274832517,0.386213511,2,0.617107391,0.47437638,"FALSE","marketing","TRUE","services","customer service representative"
25,"male",0.043394651,0.288777053,2,0.674690843,0.028755687,"FALSE","computer science","FALSE","computer & it","system analyst"
27,"female",0.175151974,0.335022777,3,0.328790128,0.175503135,"TRUE",NA,"TRUE","healthcare","medical laboratory technologist"
26,"female",0.351969,0.234802,3,0.328416973,0.241003603,"FALSE","public administration","FALSE","education","college professor"
24,"female",0.371557921,0.272952795,4,0.647569299,0.385761976,"TRUE","event management","TRUE","arts & communication","event planner"
34,"female",0.514989734,0.367661357,7,0.632201314,0.580475926,"FALSE","digital marketing","FALSE","arts & communication","public relations"
27,"female",0.141651362,0.364439189,0,0.11342591,0.238292366,"TRUE",NA,"TRUE","healthcare","medical assistant"
39,"female",0.257531524,0.229145229,9,0.514944315,0.039647106,"FALSE","business management","FALSE","accounting & finance","financial advisor"
26,"male",0.181641787,0.345358312,1,0.32691294,0.556753516,"FALSE",NA,"TRUE","healthcare","pharmacist"
33,"male",0.442935705,0.267555445,5,0.468106776,0.526679873,"FALSE","graphic design","TRUE","arts & communication","graphic designer"
45,"male",0.328317,0.228106,18,0.288377047,0.283544481,"TRUE","marketing","TRUE","education","researcher"
32,"male",0.240679622,0.256985545,4,0.428943038,0.507787347,"TRUE","secondary education","FALSE","services","tutor"
26,"female",0.223527342,0.157487899,3,0.319755197,0.383280128,"FALSE",NA,"FALSE","hr & admin","clerk"
56,"male",0.28998974,0.219577909,14,0.552204728,0.499124527,"TRUE","financial management","FALSE","accounting & finance","bookkeeper"
25,"female",0.322530985,0.224549636,5,0.708894372,0.646261394,"TRUE","event management","FALSE","arts & communication","event planner"
31,"male",0.457352221,0.675256014,7,0.388621569,0.389749169,"TRUE","financial management","FALSE","accounting & finance","financial manager"
NA,"male",0.59553593,0.19728151,2,0.407125503,0.363307148,"FALSE","business administration","FALSE","hr & admin","hr manager"
48,"female",0.442041337,0.237283081,7,0.514193773,0.524745941,"FALSE","media studies","FALSE","arts & communication","public relations"
33,"female",0.158121943,0.297302961,5,0.206688881,0.238292366,"TRUE","physical therapy","TRUE","healthcare","medical doctor"
33,"female",0.131850123,0.419406295,9,0.201602191,0.20618169,"TRUE",NA,"TRUE","healthcare","medical laboratory technologist"
29,"male",0.367964953,0.343974352,5,0.232615694,0.291342676,"TRUE","accountancy","FALSE","accounting & finance","accountant"
33,"male",0.185541615,0.30055356,5,0.563294172,0.678667665,"FALSE","secondary education","FALSE","services","tutor"
43,"female",0.308027327,0.172483981,1,0.167107403,0.12450365,"FALSE",NA,"FALSE","hr & admin","clerk"
25,"male",0.16737932,0.23435472,2,0.386427432,0.539421618,"FALSE","secondary education","FALSE","services","tutor"
NA,"female",0.421068728,0.310436726,1,0.347950697,0.329103619,"FALSE","information technology","TRUE","computer & it","system analyst"
24,"male",0.259923756,0.214735642,NA,0.401170939,0.577433348,"FALSE","secondary education","FALSE","services","tutor"
34,NA,NA,0.307290435,6,0.350188375,0.623262763,"FALSE","computer science","FALSE","computer & it","web developer"
32,"female",0.562659264,0.215561181,4,0.594376445,0.595846891,"TRUE","marketing management","FALSE","arts & communication","event planner"
28,"male",0.444412619,0.267297387,6,0.496739239,0.332155794,"TRUE","accountancy","FALSE","accounting & finance","financial manager"
29,"female",0.540135741,0.276908576,6,0.486462176,0.598743498,"FALSE","computer engineering","FALSE","computer & it","software engineer"
30,"male",0.349966526,0.260677636,3,0.556896389,0.448075235,"TRUE",NA,"FALSE","arts & communication","event planner"
35,"female",0.311118841,0.294336736,NA,0.348334074,0.661070526,"FALSE","culinary arts",NA,"services","chef"
29,"male",0.624015212,0.281059504,2,0.493920684,0.615497708,"FALSE","computer science","TRUE","computer & it","software engineer"
29,"female",0.158121943,0.332518548,8,0.360744417,0.162727147,"TRUE","clinical laboratory science","TRUE","healthcare","medical laboratory technologist"
24,NA,0.265337318,0.260909855,2,0.41457513,0.481573254,"FALSE",NA,"TRUE","services","customer service representative"
30,"female",0.185750753,0.192306966,3,0.415695071,NA,"TRUE","secondary education","FALSE","services","tutor"
30,"female",0.472983062,0.09665446,3,0.331661284,0.213770017,"FALSE",NA,"FALSE","hr & admin","project coordinator"
32,"female",0.318827,0.236875,8,0.283605099,0.410016179,"TRUE","clinical research","TRUE","education","researcher"
50,"male",0.420261562,0.243382856,15,0.434938967,0.500526965,"FALSE","business administration","FALSE","hr & admin","recruiter"
25,"female",0.504415512,0.25713113,4,0.508496583,0.649665117,"TRUE","accountancy","FALSE","accounting & finance","auditor"
NA,"male",0.466459632,0.168471456,3,0.289990187,0.381048977,"FALSE",NA,"FALSE","hr & admin","recruiter"
26,"male",0.447465181,0.347893149,4,0.584209621,0.508545637,"TRUE","graphic design","TRUE","arts & communication","illustrator"
33,"male",0.039198902,0.334529042,8,0.571121693,0.547612965,"TRUE","accountancy","FALSE","accounting & finance","accountant"
35,"male",0.151854336,0.267261893,7,0.255045533,0.432797998,"TRUE","medicine","TRUE","healthcare","registered nurse"
32,"male",0.471896529,0.233682692,7,0.496739239,0.332155794,"TRUE","accountancy","FALSE","accounting & finance","financial manager"
35,NA,0.456468999,0.350993574,11,0.389383554,NA,"FALSE","computer science","TRUE","computer & it","web developer"
35,"male",0.298634291,0.241113141,10,0.400379926,0.576737881,"FALSE","hospitality management","FALSE","services","event planner"
32,"female",0.390678883,0.318132222,8,0.552011251,0.028755687,"FALSE","computer engineering","TRUE","computer & it","database administrator"
31,"female",0.170632839,0.290874779,4,0.421778947,0.19697383,"TRUE","medical illustration","TRUE","healthcare","registered nurse"
22,"male",0.206949741,0.275053173,NA,0.465442806,0.785758376,"FALSE","secondary education","FALSE","services","tutor"
NA,"female",0.390233,0.277072,8,0.401772946,0.305228144,"FALSE","busines management","TRUE","education","college professor"
47,"male",0.356656522,0.280377537,6,0.429572403,0.524745941,"TRUE","media studies","TRUE","arts & communication","public relations"
63,"male",0.563603282,0.246995643,8,0.498929799,0.602545857,"FALSE","public relations","TRUE","arts & communication","public relations"
39,"male",0.378345728,0.176620185,0,0.28427416,0.34647724,"FALSE",NA,"FALSE","hr & admin","clerk"
29,"female",0.043394651,0.259742439,3,0.345102251,0.631938756,"FALSE","computer science","TRUE","computer & it","software engineer"
43,"male",0.489722,0.256026,10,0.351388216,0.27212733,"TRUE","anthropology","TRUE","education","college professor"
42,"female",0.263191819,0.235288352,11,0.314615697,0.673908591,"FALSE","culinary arts",NA,"services","chef"
27,"female",0.568200886,0.345086217,3,0.449845374,NA,"FALSE","information technology","FALSE","computer & it","application developer"
28,"female",0.304944217,0.239488691,4,0.693439364,0.485701799,"TRUE","event management","FALSE","arts & communication","event planner"
28,"female",0.372776389,0.211581141,5,0.398022652,0.55803436,"TRUE","financial management","FALSE","accounting & finance","financial manager"
29,"male",0.015580887,0.280543774,3,0.677050173,NA,"FALSE","hospitality management","TRUE","services","hotel and restaurant staff"
28,"female",0.326911122,0.14871721,4,0.304099619,0.162294507,"FALSE",NA,"FALSE","hr & admin","clerk"
30,"female",0.275035501,0.178657234,4,0.507105112,0.246680379,"FALSE",NA,"TRUE","hr & admin","clerk"
30,"female",0.272954,0.126573,7,0.344249666,0.351725727,"TRUE","educationi","FALSE","education","sped teacher"
38,"female",0.45771286,0.07045159,1,0.48070544,0.33828536,"FALSE",NA,"FALSE","hr & admin","recruiter"
46,"female",0.65406692,0.179810598,12,0.364018172,0.301644117,"FALSE",NA,"FALSE","hr & admin","recruiter"
NA,NA,0.602254689,0.327272683,3,0.472948134,0.499062568,"FALSE","information technology","FALSE","computer & it","application developer"
24,"female",0.368220299,0.257459015,2,0.561562896,0.545091033,"TRUE","public relations","FALSE","arts & communication","public relations"
26,"male",0.392481327,0.194966763,2,0.009368958,0.400318146,"FALSE","business management","TRUE","services","hotel and restaurant staff"
26,"male",0.282507837,0.199742943,3,0.355991215,0.278454781,"FALSE","computer science","FALSE","hr & admin","offinance manager"
39,"male",NA,0.207382783,10,0.352686286,0.630728364,"FALSE","computer engineering","TRUE","computer & it","web developer"
34,"male",0.586313367,0.316107571,7,0.332737148,0.195341647,"FALSE","business administration","FALSE","hr & admin","hr manager"
31,"female",0.170632839,0.35322544,5,0.25975585,0.192203164,"TRUE","healthcare administration (mha)","TRUE","healthcare","medical assistant"
29,"male",0.158121943,0.255644441,6,0.311464846,0.20618169,"TRUE","pharmacy","TRUE","healthcare","pharmacist"
32,"female",0.260104,0.126573,7,0.371952236,0.460766405,"TRUE","education","TRUE","education","sped teacher"
26,"male",0.492008507,0.212602824,4,0.618183494,0.627744317,NA,"financial management","FALSE","accounting & finance","auditor"
30,"male",NA,0.265681505,1,0.514170468,0.362368494,"TRUE","accountancy","TRUE","accounting & finance","bookkeeper"
36,"female",0.159504011,0.310235441,6,0.378264159,0.43377167,"FALSE","medicine","TRUE","healthcare","medical doctor"
27,NA,0.390327752,0.293956816,5,0.48516351,0.622326136,"TRUE","accountancy","FALSE","accounting & finance","auditor"
34,"male",0.158121943,0.226726681,5,0.173580512,0.28570652,"TRUE","respiratory therapy","TRUE","healthcare","registered nurse"
NA,"male",0.320099473,0.257141709,8,0.416494131,0.649944305,"FALSE","culinary arts",NA,"services","chef"
25,"male",0.316866279,0.237201318,1,0.810878396,0.635065734,"FALSE","secondary education","FALSE","services","tutor"
38,"male",0.480619133,0.273520231,16,0.616009235,0.626414895,"TRUE","accountancy","FALSE","accounting & finance","auditor"
30,"female",0.181641787,0.332767546,1,0.36360538,0.211005867,"TRUE","health informatics","TRUE","healthcare","medical assistant"
55,"female",0.570820093,0.179810598,15,0.452392757,0.32051736,"FALSE",NA,"FALSE","hr & admin","hr manager"
35,"male",0.280315876,0.1956864,5,0.120212212,0.203161687,"FALSE",NA,"FALSE","hr & admin","offinance manager"
39,"female",0.427015,0.236889,10,0.226193964,0.445401639,"TRUE","physics","TRUE","education","college professor"
26,NA,NA,0.267714798,3,0.452237666,0.589421034,"FALSE","computer science","FALSE","computer & it","database administrator"
28,"female",0.175151974,0.3160013,3,0.233300656,0.237211764,"TRUE","nutrition","TRUE","healthcare","registered nurse"
44,"male",0.363780737,0.255881071,16,0.666392326,0.594294906,"TRUE","accountancy","FALSE","accounting & finance","financial manager"
25,"female",0.043394651,0.244432509,2,0.636246324,0.621259928,"FALSE","computer science","FALSE","computer & it","software engineer"
28,NA,0.592950821,0.25492543,3,0.345104247,NA,"FALSE","information technology","FALSE","computer & it","database administrator"
35,"female",0.638625562,0.181915045,5,0.35915262,0.457184106,"FALSE","business administration","FALSE","hr & admin","hr manager"
25,"female",0.365842223,0.262746811,2,0.575790882,0.54667449,"TRUE","public relations","TRUE","arts & communication","event planner"
29,"female",0.186492234,0.251979947,2,0.427655518,0.432797998,"TRUE","massage therapy","TRUE","healthcare","registered nurse"
32,"male",0.303631335,0.22584179,4,0.246306121,0.219155222,"FALSE",NA,"TRUE","hr & admin","clerk"
31,"male",0.442935705,0.2312181,3,0.458806276,0.506406724,"TRUE","graphic design","TRUE","arts & communication","illustrator"
27,"male",0.141651362,0.399359733,0,0.285177559,0.168340325,"TRUE",NA,"TRUE","healthcare","medical assistant"
24,"male",0.34314701,0.25328809,1,0.009368958,0.021710955,"FALSE","hotel and restaurant management","TRUE","services","hotel and restaurant staff"
27,"male",0.265438348,0.230573475,3,0.464430183,0.385488838,"FALSE","political science","TRUE","arts & communication","public relations"
31,NA,0.046006121,0.29865694,13,0.536600411,0.039647106,"FALSE","economics","FALSE","accounting & finance","financial advisor"
30,"female",0.159504011,0.280071139,7,0.196489334,0.258773327,"TRUE","emergency management","TRUE","healthcare","medical laboratory technologist"
30,"male",0.193444371,0.190090179,7,0.606729746,0.580215335,"TRUE","finance","FALSE","accounting & finance","financial manager"
26,"female",0.043394651,0.29432258,3,0.414949983,0.496200651,"FALSE","computer science","FALSE","computer & it","application developer"
30,"female",0.264562,0.267656,5,0.354693472,0.222275496,"TRUE","communication sciences","TRUE","education","sped teacher"
26,"male",0.636690021,0.270190448,2,0.634423494,0.028755687,"FALSE","information technology","FALSE","computer & it","system analyst"
NA,"male",0.417060554,0.342862338,19,0.508081555,0.671964705,"TRUE","accountancy","FALSE","accounting & finance","auditor"
29,"male",0.624015212,0.281059504,2,0.493920684,0.615497708,"FALSE","computer science","FALSE","computer & it","software engineer"
45,"male",0.046006121,0.272513151,23,0.479521632,0.642608106,NA,"accountancy","FALSE","accounting & finance","auditor"
33,NA,0.356024325,0.167573661,9,0.387504965,NA,"FALSE","computer science","FALSE","computer & it","web developer"
33,"female",0.158121943,0.218166441,5,0.29389739,0.492506415,"TRUE","medicine","TRUE","healthcare","medical doctor"
27,"male",0.442935705,0.267555445,2,0.468106776,0.526679873,"FALSE","graphic design","TRUE","arts & communication","graphic designer"
30,"female",0.383928359,0.30835861,6,0.359975457,0.619300723,"FALSE","information technology","FALSE","computer & it","web developer"
NA,"male",0.411947,0.522978,0,0.246257916,0.296093106,"TRUE",NA,"TRUE","education","researcher"
41,"male",0.441769063,0.236836761,16,0.547251225,0.039647106,"TRUE","accountancy","FALSE","accounting & finance","auditor"
39,"male",0.442041337,0.237283081,7,0.514193773,0.524745941,"TRUE","media studies","TRUE","arts & communication","public relations"
34,"female",0.170632839,0.283408076,4,0.225759,0.215773195,"TRUE","pharmacy","TRUE","healthcare","pharmacist"
NA,"male",0.23290804,0.194346845,1,0.28577593,0.431702912,"FALSE","graduate","TRUE","services","hotel and restaurant staff"
65,"male",0.51402843,0.360883474,5,0.510088682,0.547106504,"TRUE","advertising","TRUE","arts & communication","public relations"
48,"female",0.421808034,0.255861193,2,0.501064777,0.482185066,"FALSE","media studies","FALSE","arts & communication","public relations"
51,"female",0.363464773,0.333852887,17,0.288984537,0.172752053,"TRUE",NA,"TRUE","hr & admin","hr manager"
35,"male",0.443164796,0.19313243,8,0.422697902,0.371340573,"FALSE","business management","FALSE","hr & admin","offinance manager"
27,"female",0.015580887,0.281252205,NA,0.263463944,0.513971925,"FALSE","hotel and restaurant management","TRUE","services","hotel and restaurant staff"
26,"female",0.557973981,0.238623917,2,0.358356833,0.028755687,"FALSE","information technology","FALSE","computer & it","software engineer"
35,"female",0.514969051,0.685349822,12,0.339715749,NA,"FALSE","business management","FALSE","accounting & finance","financial advisor"
39,"male",0.259289324,0.233081922,5,0.269313723,0.670069635,"FALSE","culinary arts",NA,"services","chef"
24,"female",0.260540992,0.272999585,3,0.009368958,0.213394985,"FALSE","hotel and restaurant management","TRUE","services","hotel and restaurant staff"
NA,"male",0.439957678,0.358773798,4,0.22679776,0.53012532,"TRUE","accountancy","FALSE","accounting & finance","accountant"
42,NA,0.297014922,0.297417819,13,0.404798985,NA,"FALSE","computer science","FALSE","computer & it","web developer"
NA,NA,0.589528561,0.279309988,7,0.469956458,0.666352987,"FALSE","computer science","FALSE","computer & it","application developer"
31,"male",0.158121943,0.29444173,5,0.161490381,0.432797998,"TRUE","optometry","TRUE","healthcare","registered nurse"
34,"female",0.4637568,0.367661357,7,0.647048295,0.580475926,"FALSE","digital marketing","FALSE","arts & communication","public relations"
38,NA,0.364331543,0.411816061,10,0.588540196,NA,"FALSE","information technology","FALSE","computer & it","database administrator"
48,"male",0.318142,0.191419,15,0.249337792,0.441554934,"TRUE","computer science","TRUE","education","researcher"
30,"female",0.28249776,0.178657234,4,0.507105112,0.246680379,"FALSE",NA,"FALSE","hr & admin","clerk"
28,"female",0.046006121,0.273520231,5,0.655747175,0.533956528,"TRUE","accountancy","FALSE","accounting & finance","financial manager"
28,"female",0.332045019,0.15996787,3,0.243840113,0.23268795,"FALSE",NA,"TRUE","hr & admin","clerk"
34,"male",0.175151974,0.290435225,4,0.296090513,0.226226062,"TRUE","environmental science","TRUE","healthcare","medical laboratory technologist"
NA,NA,0.187347591,0.274128139,2,0.382335305,0.215496197,"TRUE",NA,"TRUE","healthcare","medical laboratory technologist"
28,"male",0.175151974,0.241178364,3,0.249705702,0.214749843,"TRUE","medicine","TRUE","healthcare","medical doctor"
35,"female",0.44098264,0.220430404,9,0.349791586,0.627925336,"FALSE","information technology","FALSE","computer & it","web developer"
37,"male",0.205810532,0.234342545,12,0.486950397,0.467313766,"FALSE","hospitality management","FALSE","services","event planner"
36,"male",0.421774238,0.331396759,6,0.608260095,0.300172925,"TRUE","accountancy","FALSE","accounting & finance","accountant"
46,"male",0.361874461,0.295286357,10,NA,0.569614351,"FALSE","business management","FALSE","accounting & finance","financial advisor"
30,"female",0.539284468,0.2490343,6,0.438691348,0.625739515,"FALSE","information technology","FALSE","computer & it","application developer"
31,"female",0.331653,0.126573,7,0.348195791,0.409967542,"TRUE","education","TRUE","education","sped teacher"
29,"female",0.333748937,0.31586051,5,0.668855906,0.508447468,"TRUE","financial management","FALSE","accounting & finance","bookkeeper"
43,"male",0.46922496,0.237518072,5,0.541533172,0.595012784,"FALSE","marketing","TRUE","arts & communication","public relations"
34,"female",NA,0.211592227,11,0.541562498,0.639701307,"TRUE","accountancy","FALSE","accounting & finance","auditor"
28,"female",0.043394651,0.240101546,4,0.38112849,NA,"FALSE","computer engineering","FALSE","computer & it","application developer"
NA,"male",0.60597,0.243393,1,0.310723245,0.391106069,"TRUE","human-computer interaction","TRUE","education","researcher"
36,"male",0.43184036,0.242645308,6,0.244853914,0.357647061,"TRUE","accountancy","FALSE","accounting & finance","accountant"
33,"female",0.326031923,0.22069405,5,0.461407125,0.576204538,"TRUE","marketing","FALSE","arts & communication","event planner"
34,"male",0.170632839,0.283408076,4,0.225759,0.215773195,"TRUE","pharmacy","TRUE","healthcare","pharmacist"
48,"male",0.196289495,0.260184526,26,0.558532417,0.729271293,NA,"financial management","FALSE","accounting & finance","auditor"
34,"female",0.290086091,0.19313243,5,0.396943212,0.311574638,"FALSE","business administration","TRUE","hr & admin","offinance manager"
NA,"female",0.316665471,0.33828491,5,0.357823163,0.428633749,"TRUE","accountancy","FALSE","accounting & finance","accountant"
25,"male",0.315312266,0.378887206,1,0.398131609,0.512395263,"FALSE","media studies","TRUE","services","customer service representative"
NA,"female",0.577231824,0.108846173,15,0.477269262,0.41608882,"FALSE",NA,"FALSE","hr & admin","recruiter"
28,"female",0.2413394,0.349162757,NA,0.431618154,0.580654621,"FALSE","hospitality management","FALSE","services","event planner"
NA,NA,0.376068026,0.161057562,3,0.434736729,0.339485735,"FALSE","information technology","FALSE","hr & admin","project coordinator"
32,"female",0.187347591,0.25926286,2,0.05813052,0.522847652,"FALSE",NA,"TRUE","healthcare","medical assistant"
25,"male",0.181641787,0.345358312,1,0.32691294,0.556753516,"FALSE",NA,"TRUE","healthcare","pharmacist"
54,"male",0.257086456,0.178204015,30,0.4162477,0.386508346,"FALSE",NA,"FALSE","hr & admin","project coordinator"
34,"female",0.445037842,0.20640485,6,0.56892848,0.614233732,"TRUE","communications","FALSE","arts & communication","public relations"
35,"male",0.438674331,0.184242353,10,0.35190779,0.373905838,"FALSE","business administration","TRUE","hr & admin","recruiter"
22,"female",0.49537155,0.450343192,2,0.643077016,0.53673023,"TRUE","graphic design","TRUE","arts & communication","illustrator"
26,"male",NA,0.236319065,2,0.517943382,0.756787062,"TRUE","secondary education","FALSE","services","tutor"
35,"female",0.151854336,0.240615517,7,0.26730001,0.277206838,"TRUE","medicine","TRUE","healthcare","registered nurse"
34,"male",0.175151974,0.337357223,4,0.244358763,0.230239064,"TRUE","medicine","TRUE","healthcare","medical assistant"
31,"female",0.405780077,0.277321666,6,0.332552105,0.549910486,"FALSE","hospitality management","FALSE","services","event planner"
41,"male",0.269317865,0.287510604,14,0.706064165,0.570221364,"FALSE","hospitality management","FALSE","services","event planner"
31,"male",0.321052432,0.257783532,3,0.538699448,0.561952353,"FALSE","public relations","TRUE","arts & communication","public relations"
30,"female",0.170632839,0.232556909,5,0.28167668,0.230239064,"TRUE","pharmacy","TRUE","healthcare","pharmacist"
42,"male",0.482604,0.223035,10,0.384463191,0.27212733,"TRUE","environmental science","TRUE","education","college professor"
29,"female",0.186492234,0.337808192,2,0.110332236,0.390779197,"TRUE","medical assisting","TRUE","healthcare","registered nurse"
34,"female",0.36887449,0.216496393,9,0.297546625,NA,"FALSE","computer science","FALSE","computer & it","web developer"
30,"female",0.318486899,0.365202248,2,0.617107391,0.47052747,"FALSE","marketing","TRUE","services","customer service representative"
28,"male",0.186492234,0.341997027,3,0.266374826,0.18585251,"TRUE","speech-language pathology","TRUE","healthcare","medical assistant"
27,"male",0.48301664,0.360483319,3,0.280048907,0.028755687,"FALSE","information technology","TRUE","computer & it","system analyst"
37,"male",0.364144325,0.300562531,11,0.32531783,0.339397371,"FALSE","business management","FALSE","accounting & finance","financial advisor"
NA,"male",0.35046351,0.322887301,14,0.458771229,0.729628801,"TRUE","accountancy","FALSE","accounting & finance","financial manager"
32,"female",0.214099035,0.284247279,7,0.333121985,0.622760296,"FALSE","hospitality management","FALSE","services","event planner"
34,"male",0.284433424,0.215266794,4,0.516165376,0.499851525,"FALSE","business management","FALSE","accounting & finance","financial advisor"
50,"male",0.324585,0.211373,22,0.358172745,0.405670881,"TRUE","neuroscience","TRUE","education","researcher"
28,"male",0.175151974,0.248926058,4,0.229922801,0.481529117,"TRUE",NA,"TRUE","healthcare","medical assistant"
33,"male",NA,0.250273883,8,0.323879361,0.661236048,"FALSE","hospitality management","FALSE","services","event planner"
40,"male",0.406472981,0.379631668,7,0.500021517,0.661174476,"FALSE","business management","FALSE","accounting & finance","financial advisor"
25,"female",0.043394651,0.340226829,1,0.563454866,0.549233496,"FALSE","information technology","FALSE","computer & it","system analyst"
20,"female",0.501054049,0.419821084,1,0.557966828,0.524649441,"TRUE","visual communication","FALSE","arts & communication","graphic designer"
33,"male",0.421390951,0.272563517,5,0.582844853,0.472223341,"TRUE","journalism","TRUE","arts & communication","public relations"
31,"male",0.297227383,0.326447725,7,0.317960799,0.263441622,"TRUE","accountancy","FALSE","accounting & finance","accountant"
23,"male",NA,0.387581587,NA,0.378667384,0.472422957,"FALSE",NA,"TRUE","services","customer service representative"
35,"male",0.421390951,0.272563517,5,0.582844853,0.472223341,"TRUE","journalism","TRUE","arts & communication","public relations"
41,"male",0.511285,0.264232,11,0.285757363,0.27212733,"TRUE","cultural anthropology","TRUE","education","college professor"
39,"male",0.388192654,0.189001188,17,0.563946843,0.039647106,NA,"financial management","FALSE","accounting & finance","auditor"
37,"female",0.458546281,0.335155547,8,0.567862153,0.31822294,"TRUE",NA,"FALSE","hr & admin","hr manager"
57,"female",0.363317847,0.117150411,4,0.258856028,0.2966972,"TRUE",NA,"FALSE","hr & admin","offinance manager"
30,"male",0.170632839,0.330393881,4,0.315062046,0.230239064,"TRUE","medicine","TRUE","healthcare","medical doctor"
30,NA,0.131850123,0.40591976,9,0.326187253,0.20618169,"TRUE","laboratory automation","TRUE","healthcare","medical laboratory technologist"
38,"male",0.275659114,0.376160294,5,0.372219265,0.663986444,"FALSE","culinary arts",NA,"services","chef"
NA,"male",0.26881212,0.287591785,NA,0.339715749,0.335719883,"FALSE","business management","FALSE","accounting & finance","financial advisor"
29,"female",0.39782837,0.405205309,2,0.428432643,0.580087543,"FALSE",NA,"TRUE","services","customer service representative"
29,NA,0.647454381,0.297833085,4,0.590108573,0.698854327,"FALSE","information technology","FALSE","computer & it","system analyst"
26,"female",0.458369821,0.211819142,1,0.531389117,0.490573466,"FALSE","information technology","FALSE","computer & it","system analyst"
32,"male",0.485985368,0.680782199,8,0.448628187,0.500828505,"TRUE","financial management","FALSE","accounting & finance","financial manager"
33,"male",0.500888,0.173248,7,0.306418478,0.331163555,"FALSE","art history","TRUE","education","college professor"
31,NA,0.24539277,0.254485875,4,0.455451846,NA,"FALSE","hospitality management","FALSE","services","event planner"
NA,"female",0.485689193,0.186176032,0,0.23922199,0.23298496,"FALSE",NA,"FALSE","hr & admin","project coordinator"
